Rank,Nome,Linguagem,Estrelas,Estrelas_Hoje,Forks
01,ixahmedxi/noodle,TypeScript,"6,846","1,313",566
02,InternLM/InternLM,Python,"1,347",236,101
03,piotr022/UV_K5_playground,LLVM,105,41,46
04,geekan/MetaGPT,Python,"1,989",197,323
05,facebook/react-native,Java,"110,599",97,"23,563"
06,StanGirard/quivr,TypeScript,"10,437",281,"1,282"
07,comfyanonymous/ComfyUI,Python,"6,864",164,609
08,lrh2000/StackRot,,218,49,21
09,hwchase17/langchain,Python,"53,291",210,"6,784"
10,karanpratapsingh/system-design,,"18,527",317,"1,639"
11,RUCAIBox/LLMSurvey,Python,"3,289",143,262
12,gibbok/typescript-book,TypeScript,"4,052",922,367
13,chat2db/Chat2DB,Java,"4,272",136,648
14,SysCV/sam-pt,,461,85,26
15,pittcsc/Summer2024-Internships,,"19,954",97,"1,963"
16,GopeedLab/gopeed,Dart,"5,763",146,509
17,airbnb/lottie-ios,Swift,"24,235",45,"3,559"
18,expo/expo,TypeScript,"21,588",138,"4,128"
19,prettier/prettier,JavaScript,"46,080",111,"3,933"
20,falcosecurity/falco,C++,"6,118",86,804
21,laurent22/joplin,TypeScript,"37,163",145,"4,041"
22,MunGell/awesome-for-beginners,,"53,513",192,"6,371"
23,ReaVNaiL/New-Grad-2024,Python,"1,440",92,72
24,ohyicong/decrypt-chrome-passwords,Python,379,82,97
25,microsoft/vscode,TypeScript,"148,102",126,"26,235"
